freq [Hz];L [dB];
935600000;-6,5622091293334961;
936200000;-6,504939079284668;
936800000;-6,4748363494873047;
937400000;-6,459754467010498;
938000000;-6,4842987060546875;
938600000;-6,5767831802368164;
939200000;-6,6491489410400391;
939800000;-6,7587566375732422;
940400000;-6,8935642242431641;
941000000;-7,0523796081542969;
941600000;-7,2563047409057617;
942200000;-7,4475769996643066;
942800000;-7,5787038803100586;
943400000;-7,6960000991821289;
944000000;-7,8372159004211426;
944600000;-7,9792952537536621;
945200000;-8,119542121887207;
945800000;-8,2817249298095703;
946400000;-8,4388265609741211;
947000000;-8,4650993347167969;
947600000;-8,5602817535400391;
948200000;-8,6234674453735352;
948800000;-8,5900564193725586;
949400000;-8,5262451171875;
950000000;-8,4289617538452148;
950600000;-8,3524675369262695;
951200000;-8,1915054321289062;
951800000;-8,0062246322631836;
952400000;-7,7818684577941895;
953000000;-7,4781866073608398;
953600000;-7,1305875778198242;
954200000;-6,7774300575256348;
954800000;-6,4994401931762695;
955400000;-6,1706476211547852;
956000000;-5,8754901885986328;
956600000;-5,6021051406860352;
957200000;-5,4626035690307617;
957800000;-5,4070172309875488;
958400000;-5,4415616989135742;
959000000;-5,5979623794555664;
959600000;-5,8398284912109375;
960200000;-6,2521190643310547;
960800000;-6,6819796562194824;
961400000;-7,2327432632446289;
962000000;-7,6490583419799805;
962600000;-8,2191200256347656;
963200000;-8,6061954498291016;
963800000;-9,0688571929931641;
964400000;-9,3965606689453125;
965000000;-9,8109226226806641;
965600000;-10,077259063720703;
966200000;-10,325563430786133;
966800000;-10,540441513061523;
967400000;-10,739910125732422;
968000000;-10,813215255737305;
968600000;-10,941808700561523;
969200000;-11,069789886474609;
969800000;-11,165613174438477;
970400000;-11,304235458374023;
971000000;-11,548426628112793;
971600000;-11,905906677246094;
972200000;-12,384780883789063;
972800000;-13,078577995300293;
973400000;-13,955243110656738;
974000000;-14,964554786682129;
974600000;-16,153602600097656;
975200000;-17,758460998535156;
975800000;-19,531791687011719;
976400000;-21,933448791503906;
977000000;-24,579196929931641;
977600000;-27,519430160522461;
978200000;-31,737159729003906;
978800000;-35,8564453125;
979400000;-41,972118377685547;
980000000;-49,026939392089844;
980600000;-40,104129791259766;
981200000;-38,795768737792969;
981800000;-41,390487670898437;
982400000;-43,461227416992188;
983000000;-44,057102203369141;
983600000;-44,072463989257813;
984200000;-43,631904602050781;
984800000;-43,234310150146484;
985400000;-42,986152648925781;
986000000;-42,722366333007813;
986600000;-42,712291717529297;
987200000;-42,649223327636719;
987800000;-42,521316528320313;
988400000;-42,590896606445313;
989000000;-42,561508178710938;
989600000;-42,7012939453125;
990200000;-42,656257629394531;
990800000;-42,771690368652344;
991400000;-42,791095733642578;
992000000;-42,801036834716797;
992600000;-42,878170013427734;
993200000;-42,940162658691406;
993800000;-43,031097412109375;
994400000;-43,03814697265625;
995000000;-43,156681060791016;
995600000;-43,215274810791016;
996200000;-43,355510711669922;
996800000;-43,38916015625;
997400000;-43,376625061035156;
998000000;-43,594814300537109;
998600000;-43,574516296386719;
999200000;-43,813282012939453;
999800000;-43,791599273681641;
1000400000;-43,940711975097656;
1001000000;-44,152729034423828;
1001600000;-44,221309661865234;
1002200000;-44,338027954101563;
1002800000;-44,399723052978516;
1003400000;-44,499271392822266;
1004000000;-44,659664154052734;
1004600000;-44,751377105712891;
1005200000;-44,898998260498047;
1005800000;-45,01116943359375;
1006400000;-45,055072784423828;
1007000000;-45,15289306640625;
1007600000;-45,249832153320313;
1008200000;-45,429836273193359;
1008800000;-45,424846649169922;
1009400000;-45,558151245117188;
1010000000;-45,802906036376953;
1010600000;-45,864887237548828;
1011200000;-45,846641540527344;
1011800000;-46,032341003417969;
1012400000;-46,053043365478516;
1013000000;-46,234226226806641;
1013600000;-46,429477691650391;
1014200000;-46,528995513916016;
1014800000;-46,519233703613281;
1015400000;-46,619571685791016;
1016000000;-46,725963592529297;
1016600000;-46,99371337890625;
1017200000;-47,186431884765625;
1017800000;-47,414958953857422;
1018400000;-47,444690704345703;
1019000000;-47,786922454833984;
1019600000;-48,006004333496094;
1020200000;-48,361309051513672;
1020800000;-49,070396423339844;
1021400000;-49,229957580566406;
1022000000;-49,49822998046875;
1022600000;-50,356491088867187;
1023200000;-48,686107635498047;
1023800000;-47,739086151123047;
1024400000;-47,570659637451172;
1025000000;-47,679450988769531;
1025600000;-47,924118041992188;
1026200000;-48,320522308349609;
1026800000;-48,501255035400391;
1027400000;-48,67376708984375;
1028000000;-48,811511993408203;
1028600000;-48,948822021484375;
1029200000;-49,033660888671875;
1029800000;-49,288360595703125;
1030400000;-49,496131896972656;
1031000000;-49,850105285644531;
1031600000;-50,095695495605469;
1032200000;-49,971012115478516;
1032800000;-50,417797088623047;
1033400000;-50,621246337890625;
1034000000;-51,123844146728516;
1034600000;-50,839405059814453;
1035200000;-51,181533813476562;
1035800000;-51,259323120117188;
1036400000;-51,376293182373047;
1037000000;-51,767753601074219;
1037600000;-51,808361053466797;
1038200000;-51,824665069580078;
1038800000;-52,364650726318359;
1039400000;-52,404483795166016;
1040000000;-52,592658996582031;
1040600000;-52,670986175537109;
1041200000;-52,481784820556641;
1041800000;-52,963001251220703;
1042400000;-52,809982299804688;
1043000000;-52,637470245361328;
1043600000;-52,911365509033203;
1044200000;-52,940200805664062;
1044800000;-52,821369171142578;
1045400000;-52,936920166015625;
1046000000;-53,043727874755859;
1046600000;-53,119358062744141;
1047200000;-52,578861236572266;
1047800000;-52,794975280761719;
1048400000;-52,910572052001953;
1049000000;-52,715869903564453;
1049600000;-52,699329376220703;
1050200000;-52,770519256591797;
1050800000;-52,819446563720703;
1051400000;-52,548698425292969;
1052000000;-52,471755981445313;
1052600000;-52,748359680175781;
1053200000;-52,656501770019531;
1053800000;-52,426185607910156;
1054400000;-52,432159423828125;
1055000000;-52,213512420654297;
1055600000;-52,303909301757812;
1056200000;-52,293075561523438;
1056800000;-52,079032897949219;
1057400000;-52,4984130859375;
1058000000;-52,561141967773438;
1058600000;-52,494346618652344;
1059200000;-52,303207397460938;
1059800000;-52,184959411621094;
1060400000;-52,295711517333984;
1061000000;-52,257472991943359;
1061600000;-52,557621002197266;
1062200000;-52,373550415039063;
1062800000;-52,530307769775391;
1063400000;-52,419254302978516;
1064000000;-52,391986846923828;
1064600000;-52,645160675048828;
1065200000;-52,463050842285156;
1065800000;-52,337528228759766;
1066400000;-52,718318939208984;
1067000000;-52,512844085693359;
1067600000;-52,465961456298828;
1068200000;-52,492259979248047;
1068800000;-52,685829162597656;
1069400000;-52,706558227539062;
1070000000;-52,625862121582031;
1070600000;-52,84503173828125;
1071200000;-52,684085845947266;
1071800000;-53,255561828613281;
1072400000;-52,741493225097656;
1073000000;-52,799846649169922;
1073600000;-53,015815734863281;
1074200000;-52,967380523681641;
1074800000;-53,161872863769531;
1075400000;-53,076583862304688;
1076000000;-53,213851928710938;
1076600000;-53,301120758056641;
1077200000;-53,333545684814453;
1077800000;-53,526073455810547;
1078400000;-53,404201507568359;
1079000000;-53,516342163085938;
1079600000;-53,390342712402344;
1080200000;-53,340251922607422;
1080800000;-53,262077331542969;
1081400000;-53,436466217041016;
1082000000;-53,570049285888672;
1082600000;-53,421947479248047;
1083200000;-53,222808837890625;
1083800000;-53,256355285644531;
1084400000;-53,370613098144531;
