Frequency [Hz];Attenuation [dB];Conditions;
2400000000;-41.243316650390625;Obstacle (human)
2400200000;-41.146358489990234;Obstacle (human)
2400400000;-41.277259826660156;Obstacle (human)
2400600000;-41.651748657226563;Obstacle (human)
2400800000;-41.940807342529297;Obstacle (human)
2401000000;-41.3428955078125;Obstacle (human)
2401200000;-42.165939331054688;Obstacle (human)
2401400000;-42.035259246826172;Obstacle (human)
2401600000;-42.125625610351563;Obstacle (human)
2401800000;-41.704826354980469;Obstacle (human)
2402000000;-42.515682220458984;Obstacle (human)
2402200000;-42.262016296386719;Obstacle (human)
2402400000;-42.366600036621094;Obstacle (human)
2402600000;-42.168083190917969;Obstacle (human)
2402800000;-42.166908264160156;Obstacle (human)
2403000000;-42.296424865722656;Obstacle (human)
2403200000;-42.275485992431641;Obstacle (human)
2403400000;-42.605201721191406;Obstacle (human)
2403600000;-42.273948669433594;Obstacle (human)
2403800000;-42.965946197509766;Obstacle (human)
2404000000;-41.920852661132813;Obstacle (human)
2404200000;-43.060829162597656;Obstacle (human)
2404400000;-42.781509399414063;Obstacle (human)
2404600000;-43.206443786621094;Obstacle (human)
2404800000;-43.890537261962891;Obstacle (human)
2405000000;-43.770828247070313;Obstacle (human)
2405200000;-43.214935302734375;Obstacle (human)
2405400000;-43.198081970214844;Obstacle (human)
2405600000;-43.400650024414063;Obstacle (human)
2405800000;-44.121406555175781;Obstacle (human)
2406000000;-43.89501953125;Obstacle (human)
2406200000;-43.597705841064453;Obstacle (human)
2406400000;-42.672618865966797;Obstacle (human)
2406600000;-42.205310821533203;Obstacle (human)
2406800000;-42.954307556152344;Obstacle (human)
2407000000;-42.765403747558594;Obstacle (human)
2407200000;-42.48370361328125;Obstacle (human)
2407400000;-42.169872283935547;Obstacle (human)
2407600000;-42.148872375488281;Obstacle (human)
2407800000;-41.845073699951172;Obstacle (human)
2408000000;-41.623939514160156;Obstacle (human)
2408200000;-41.860260009765625;Obstacle (human)
2408400000;-41.278648376464844;Obstacle (human)
2408600000;-40.672328948974609;Obstacle (human)
2408800000;-40.615013122558594;Obstacle (human)
2409000000;-40.409759521484375;Obstacle (human)
2409200000;-40.62677001953125;Obstacle (human)
2409400000;-40.14239501953125;Obstacle (human)
2409600000;-40.162784576416016;Obstacle (human)
2409800000;-40.674697875976562;Obstacle (human)
2410000000;-39.464012145996094;Obstacle (human)
2410200000;-40.0838623046875;Obstacle (human)
2410400000;-39.839656829833984;Obstacle (human)
2410600000;-40.113723754882813;Obstacle (human)
2410800000;-39.778629302978516;Obstacle (human)
2411000000;-39.238716125488281;Obstacle (human)
2411200000;-39.1451416015625;Obstacle (human)
2411400000;-39.117568969726563;Obstacle (human)
2411600000;-38.597953796386719;Obstacle (human)
2411800000;-38.521461486816406;Obstacle (human)
2412000000;-38.51800537109375;Obstacle (human)
2412200000;-38.070365905761719;Obstacle (human)
2412400000;-37.601982116699219;Obstacle (human)
2412600000;-38.064701080322266;Obstacle (human)
2412800000;-37.503669738769531;Obstacle (human)
2413000000;-37.748249053955078;Obstacle (human)
2413200000;-37.330711364746094;Obstacle (human)
2413400000;-37.015541076660156;Obstacle (human)
2413600000;-36.961803436279297;Obstacle (human)
2413800000;-36.556694030761719;Obstacle (human)
2414000000;-36.917110443115234;Obstacle (human)
2414200000;-36.810302734375;Obstacle (human)
2414400000;-36.525859832763672;Obstacle (human)
2414600000;-36.3553466796875;Obstacle (human)
2414800000;-36.633651733398437;Obstacle (human)
2415000000;-36.338478088378906;Obstacle (human)
2415200000;-36.590911865234375;Obstacle (human)
2415400000;-36.249977111816406;Obstacle (human)
2415600000;-36.010669708251953;Obstacle (human)
2415800000;-36.242954254150391;Obstacle (human)
2416000000;-36.2755126953125;Obstacle (human)
2416200000;-35.932788848876953;Obstacle (human)
2416400000;-36.132869720458984;Obstacle (human)
2416600000;-36.479393005371094;Obstacle (human)
2416800000;-36.158653259277344;Obstacle (human)
2417000000;-36.444583892822266;Obstacle (human)
2417200000;-36.456520080566406;Obstacle (human)
2417400000;-36.440532684326172;Obstacle (human)
2417600000;-36.354709625244141;Obstacle (human)
2417800000;-36.447860717773437;Obstacle (human)
2418000000;-36.176322937011719;Obstacle (human)
2418200000;-36.313369750976563;Obstacle (human)
2418400000;-35.963775634765625;Obstacle (human)
2418600000;-36.066390991210937;Obstacle (human)
2418800000;-35.904159545898438;Obstacle (human)
2419000000;-35.999267578125;Obstacle (human)
2419200000;-35.920700073242188;Obstacle (human)
2419400000;-35.984756469726562;Obstacle (human)
2419600000;-36.19580078125;Obstacle (human)
2419800000;-36.273788452148438;Obstacle (human)
2420000000;-36.084869384765625;Obstacle (human)
2420200000;-36.162017822265625;Obstacle (human)
2420400000;-36.099369049072266;Obstacle (human)
2420600000;-35.872879028320313;Obstacle (human)
2420800000;-36.105209350585937;Obstacle (human)
2421000000;-36.020088195800781;Obstacle (human)
2421200000;-36.209243774414063;Obstacle (human)
2421400000;-35.814167022705078;Obstacle (human)
2421600000;-35.765571594238281;Obstacle (human)
2421800000;-35.935142517089844;Obstacle (human)
2422000000;-35.469963073730469;Obstacle (human)
2422200000;-35.625877380371094;Obstacle (human)
2422400000;-35.790264129638672;Obstacle (human)
2422600000;-35.945274353027344;Obstacle (human)
2422800000;-35.968925476074219;Obstacle (human)
2423000000;-35.762424468994141;Obstacle (human)
2423200000;-36.097282409667969;Obstacle (human)
2423400000;-35.786357879638672;Obstacle (human)
2423600000;-35.838188171386719;Obstacle (human)
2423800000;-36.155982971191406;Obstacle (human)
